Country,all_ranking,all_score,help_ranking,help_score,money_ranking,money_score,time_ranking,time_score 
Indonesia,1,59,97,46,2,78,1,53
Australia,2,59,24,65,3,71,6,40
New Zealand,3,58,21,66,5,68,5,40
United States of America,4,58,10,72,12,61,8,39
Ireland,5,56,25,64,9,64,7,40
United Kingdom,6,55,29,63,4,68,23,33
Singapore,7,54,18,67,14,58,9,39
Kenya,8,54,9,72,27,46,3,45
Myanmar,9,54,112,40,1,88,22,34
Bahrain,10,53,6,74,25,53,24,33
Netherlands,11,51,71,52,6,66,13,37
United Arab Emirates,12,51,16,68,11,62,57,23
Norway,13,50,55,54,7,65,29,32
Haiti,14,49,30,62,20,54,32,31
Canada,15,49,45,57,17,56,26,33
Nigeria,16,48,12,71,42,36,14,37
Iceland,17,48,80,50,8,65,41,27
Malta,18,47,59,53,10,64,51,25
Liberia,19,47,4,80,111,14,2,47
Sierra Leone,20,47,5,80,81,23,12,37
Zambia,21,46,14,70,46,35,20,34
Germany,22,46,42,58,19,55,46,26
Trinidad and Tobago,23,46,13,70,41,37,30,31
Denmark,24,46,41,58,16,56,55,23
Mauritius,25,46,46,57,29,42,10,38
Switzerland,26,45,116,40,13,60,11,37
Sri Lanka,27,45,64,52,36,39,4,45
Libya,28,45,1,83,63,28,52,24
Iran,29,45,32,61,24,53,70,20
Hong Kong,30,44,35,60,18,55,76,19
Gambia,31,44,7,74,62,28,34,30
Austria,32,44,62,52,21,54,50,26
Kuwait,33,43,3,80,37,39,120,11
Iraq,34,43,2,81,59,29,73,19
Cyprus,35,43,34,60,30,42,45,26
Tajikistan,36,42,37,59,51,32,15,36
Ghana,37,42,31,62,57,30,17,36
Israel,38,42,78,50,23,53,54,23
Belgium,39,41,74,51,28,45,44,27
South Africa,40,41,11,72,100,17,21,34
Luxembourg,41,41,114,40,26,50,25,33
Sweden,42,41,70,52,15,57,111,13
Turkmenistan,43,40,88,48,40,37,18,35
Finland,44,40,60,53,35,39,49,26
Mongolia,45,39,111,41,31,41,16,36
Honduras,46,39,54,54,53,31,27,32
Slovenia,47,39,91,47,43,35,19,35
South Sudan,48,39,36,60,60,29,35,29
Dominican Republic,49,39,27,64,90,20,28,32
Uganda,50,39,19,67,80,23,47,26
Saudi Arabia,51,37,8,74,68,26,116,12
Nepal,52,37,79,50,48,33,42,27
Uzbekistan,53,36,73,51,39,38,68,20
Spain,54,36,47,56,45,35,85,17
Kyrgyzstan,55,36,68,52,38,38,81,18
Jamaica,56,36,28,63,106,15,37,29
Malawi,57,35,22,66,108,15,48,26
Dem. Rep. of the Congo,58,35,48,56,95,19,36,29
Paraguay,59,34,61,53,61,28,60,22
Republic of Korea,60,34,92,47,33,40,96,15
Chile,61,34,52,54,50,33,102,15
Thailand,61,34,127,36,22,53,113,12
Costa Rica,62,34,39,59,71,25,86,17
Cameroon,63,34,17,67,98,18,90,16
Taiwan,64,34,84,49,47,33,75,19
Guatemala,65,34,72,51,85,21,38,28
Kosovo,66,33,81,50,32,40,123,10
Nicaragua,67,33,65,52,69,26,59,22
Italy,68,33,95,46,44,35,82,17
Central African Republic,69,32,67,52,97,18,43,27
Guinea,70,32,66,52,84,22,53,24
Niger,71,32,20,66,130,10,67,20
France,72,32,122,37,67,27,31,31
Namibia,73,32,26,64,131,10,63,21
Bangladesh,74,31,44,57,79,23,110,13
Jordan,75,30,15,68,116,13,125,9
Zimbabwe,76,30,33,61,128,10,78,18
Uruguay,77,30,83,49,73,25,97,15
Panama,78,30,87,48,92,20,62,33
Mozambique,79,29,77,50,124,11,40,27
Colombia,80,29,50,56,105,15,88,17
Ukraine,81,29,107,42,58,29,103,15
Burkina Faso,82,29,49,56,126,11,71,19
Portugal,83,28,76,50,93,20,94,15
Tanzania,84,28,93,47,56,30,131,8
Lebanon,85,28,85,49,75,24,117,12
Bolivia,86,28,86,49,106,15,64,21
Senegal,87,28,57,54,103,16,104,15
Slovakia,88,28,134,32,54,31,61,22
Philippines,89,28,102,44,117,13,39,28
Bosnia and Herzegovina,90,28,123,37,34,40,137,7
Pakistan,91,28,104,43,65,27,112,13
Algeria,92,28,58,54,119,13,84,17
Mali,93,28,63,52,123,11,66,20
Argentina,94,28,69,52,102,16,98,15
Lesotho,95,28,40,58,142,5,69,20
Kazakhstan,96,28,130,35,52,32,89,16
Botswana,97,27,38,59,135,8,91,16
Ethiopia,98,27,106,43,101,17,58,23
Moldova,99,27,99,45,77,24,109,13
Madagascar,100,27,119,39,121,12,33,31
Peru,100,27,94,47,109,15,65,20
Chad,101,27,82,50,104,16,93,16
Romania,102,27,56,54,91,20,139,6
Rwanda,103,26,117,39,83,22,80,18
Morocco,104,26,23,65,143,5,124,9
Benin,105,26,89,48,114,13,87,17
Egypt,106,26,43,57,110,14,141,6
Venezuela,107,26,72,51,125,11,100,15
Albania,108,26,108,42,64,28,134,7
Estonia,109,26,133,34,66,27,92,16
Russian Federation,110,25,101,44,86,21,118,11
Côte d'Ivoire,111,25,51,55,120,12,135,7
Poland,112,24,131,34,78,24,99,15
Gabon,113,24,53,54,132,9,122,10
Mexico,114,24,98,45,115,13,105,14
Congo (Brazzaville),115,24,75,51,136,8,108,14
Montenegro,116,24,120,38,74,25,127,9
Togo,117,24,96,46,127,11,106,14
Georgia,118,24,90,47,140,6,83,17
Ecuador,119,24,115,40,118,13,79,18
Hungary,120,23,125,36,82,22,115,12
Belarus,121,23,137,31,88,21,74,19
Brazil,122,23,105,43,112,14,109,13
Armenia,123,23,100,45,107,15,130,9
India,124,22,136,31,89,20,101,15
Czech Republic,125,22,140,26,87,21,72,19
Bulgaria,126,22,109,42,96,18,144,5
El Salvador,127,22,118,39,129,10,95,15
Japan,128,22,142,23,99,18,56,23
Serbia,129,21,132,34,76,24,140,6
Macedonia (FYRO),130,20,138,30,70,26,143,5
Turkey,131,20,113,40,122,12,126,9
Croatia,132,20,141,25,72,25,121,11
Mauritania,133,20,121,37,134,8,107,14
Lao,134,20,143,22,49,33,145,4
Tunisia,135,20,103,44,139,7,132,8
Afghanistan,136,19,110,41,141,6,119,11
Latvia,137,19,139,28,88,21,128,9
Lithuania,138,19,N/a,N/a,94,19,77,18
Azerbaijan,139,18,129,35,133,8,114,12
Cambodia,140,18,144,18,55,30,142,6
Palestine,141,17,124,37,138,7,129,9
China,142,17,135,31,113,14,133,7
Greece,143,17,128,36,137,7,136,7
Yemen,144,15,126,36,144,2,138,6
