country,Tax Regime,NPO tax exemption,NPO reporting,NPO reporting sensitive to size,Corporate Tax Incentives,Individual Tax Incentives,Different incentives for corporations/individuals,Estate tax,Donations after death exempt,Score
Belgium,1,1,1,1,1,1,1,1,1,11
Canada,1,1,1,1,1,1,1,1,1,11
Denmark,1,1,1,1,1,1,0,1,1,11
France,1,1,1,1,1,1,1,1,1,11
Germany,1,1,1,1,1,1,0,1,1,11
Ireland,1,1,1,1,1,1,1,1,1,11
Italy,1,1,1,1,1,1,1,1,1,11
Singapore,1,1,1,1,1,1,1,1,1,11
Switzerland,1,1,1,1,1,1,1,1,1,11
United Kingdom of Great Britain and Northern Ireland,1,1,1,1,1,1,1,1,1,11
United States of America,1,1,1,1,1,1,1,1,1,11
Albania,1,1,1,0,1,1,1,1,1,10
Australia,1,1,1,0,1,1,0,1,1,10
Austria,1,1,1,1,1,1,0,0,0,10
Barbados,1,1,1,1,1,1,0,0,0,10
Bolivia,1,1,1,0,1,1,0,1,1,10
Bosnia and Herzegovina,1,1,1,0,1,1,1,1,1,10
Brazil,1,1,1,0,1,1,1,1,1,10
Bulgaria,1,1,1,0,1,1,1,1,1,10
Chile,1,1,1,0,1,1,1,1,1,10
China,1,1,1,1,1,1,1,0,0,10
Colombia,1,1,1,1,1,1,1,0,0,10
Egypt,1,1,1,1,1,1,1,0,0,10
El Salvador,1,1,1,1,1,1,1,0,0,10
Grenada,1,1,1,1,1,1,1,0,0,10
Indonesia,1,1,1,1,1,1,1,0,0,10
Iran,1,1,1,0,1,1,0,1,1,10
Israel,1,1,1,0,1,1,1,1,1,10
Japan,1,1,1,0,1,1,1,1,1,10
Jordan,1,1,1,1,1,1,0,0,0,10
Luxembourg,1,1,1,0,1,1,0,1,1,10
Malta,1,1,1,1,1,1,0,0,0,10
Mongolia,1,1,1,0,1,1,1,1,1,10
Netherlands,1,1,1,0,1,1,1,1,1,10
Papua New Guinea,1,1,1,1,1,1,0,0,0,10
Philippines,1,1,1,0,1,1,1,1,1,10
Slovenia,1,1,1,0,1,1,1,1,1,10
South Africa,1,1,1,0,1,1,1,1,1,10
Sweden,1,1,1,1,1,1,1,0,0,10
Syrian Arab Republic,1,1,1,1,1,1,0,0,0,10
Turkey,1,1,1,0,1,1,0,1,1,10
Ukraine,1,1,1,0,1,1,1,1,1,10
Venezuela,1,1,1,0,1,1,1,1,1,10
Argentina,1,1,1,0,1,1,0,0,0,9
Armenia,1,1,1,0,1,1,1,0,0,9
Bangladesh,1,1,1,0,1,1,1,0,0,9
Benin,1,1,1,0,1,1,1,1,0,9
Burundi,1,1,1,0,1,1,0,0,0,9
Cabo Verde,1,1,1,0,1,1,0,1,0,9
Costa Rica,1,1,1,0,1,1,0,0,0,9
Croatia,1,1,1,0,1,1,0,1,0,9
Dominica,1,1,1,0,1,1,0,0,0,9
Estonia,1,1,1,0,1,1,1,0,0,9
Fiji,1,1,1,0,1,1,1,0,0,9
Guatemala,1,1,1,0,1,1,0,1,0,9
Guinea,1,1,0,0,1,1,1,1,1,9
Guyana,1,1,1,0,1,1,1,0,0,9
Haiti,1,1,1,0,1,1,0,1,0,9
Honduras,1,1,1,0,1,1,0,0,0,9
Hungary,1,1,1,0,1,1,0,1,0,9
Iceland,1,1,1,0,1,1,0,1,0,9
India,1,1,1,0,1,1,0,0,0,9
Jamaica,1,1,1,0,1,1,0,1,0,9
Kazakhstan,1,1,1,0,1,1,0,0,0,9
Kenya,1,1,1,0,1,1,0,0,0,9
Korea (Republic of),1,1,1,0,1,1,1,0,0,9
Latvia,1,1,1,0,1,1,1,0,0,9
Liberia,1,1,1,0,1,1,0,0,0,9
Libya,1,1,1,0,1,1,0,0,0,9
Liechtenstein,1,1,1,0,1,1,0,0,0,9
Madagascar,1,1,1,0,1,1,0,0,0,9
Malawi,1,1,1,0,1,1,0,1,0,9
Malaysia,1,1,1,0,1,1,0,0,0,9
Maldives,1,1,1,0,1,1,0,0,0,9
Mexico,1,1,1,0,1,1,0,0,0,9
Montenegro,1,1,0,0,1,1,0,1,1,9
Morocco,1,1,1,0,1,1,1,0,0,9
New Zealand,1,1,1,0,1,1,1,0,0,9
Pakistan,1,1,1,0,1,1,1,0,0,9
Panama,1,1,1,0,1,1,1,0,0,9
Paraguay,1,1,1,0,1,1,1,0,0,9
Peru,1,1,1,0,1,1,0,0,0,9
Poland,1,1,1,0,1,1,0,1,0,9
Portugal,1,1,1,0,1,1,1,1,0,9
Romania,1,1,1,0,1,1,1,0,0,9
Rwanda,1,1,1,0,1,1,0,0,0,9
Slovakia,1,1,1,0,1,1,1,0,0,9
South Sudan,1,1,1,0,1,1,0,0,0,9
Spain,1,1,1,0,1,1,1,1,0,9
Sri Lanka,1,1,1,0,1,1,1,0,0,9
