nbr_name,nbr_fmt,grp
nbr_muem_in_pmdb,547,pmdb_stats
nbr_opnd_wld,516,pmdb_stats
nbr_clsd_wld,101,pmdb_stats
nbr_cry_wal1pm_all,64,pmdb_stats
nbr_pm_openatm,446,pmdb_stats
nbr_opnd_snc2k,420,pmdb_stats
perc_opnd_snc2k,76.8%,pmdb_stats
regsub_cnt_Western_Europe,136,nbr_pm_regsub
regsub_cnt_Eastern_Asia,97,nbr_pm_regsub
regsub_cnt_Northern_America,77,nbr_pm_regsub
regsub_cnt_Southern_Europe,71,nbr_pm_regsub
regsub_cnt_Northern_Europe,27,nbr_pm_regsub
nbr_cy_cbn1,1245,cbn_info
nbr_cy_cbn2,2514,cbn_info
nbr_cy_cbn3,3330,cbn_info
nbr_crys_cbn1,85,cbn_info
nbr_crys_cbn2,150,cbn_info
nbr_crys_cbn3,161,cbn_info
nbr_opngs_cbn1,355,cbn_info
nbr_opngs_cbn2,402,cbn_info
nbr_opngs_cbn3,404,cbn_info
prop_opngs_cvrd_cbn1,0.649,cbn_info
prop_opngs_cvrd_cbn2,0.735,cbn_info
prop_opngs_cvrd_cbn3,0.739,cbn_info
perc_opngs_cvrd_cbn1,64.9%,cbn_info
perc_opngs_cvrd_cbn2,73.5%,cbn_info
perc_opngs_cvrd_cbn3,73.9%,cbn_info
opng_rate_cbn1,0.0112,opng_rates_fmt
opng_rate_cbn2,0.0060,opng_rates_fmt
opng_rate_cbn3,0.0046,opng_rates_fmt
nbr_zero_cbn1,1 034,opng_prop_vlus
nbr_nzero_cbn1,211,opng_prop_vlus
prop_nzero_cbn1,16.9,opng_prop_vlus
nbr_zero_cbn2,2 262,opng_prop_vlus
nbr_nzero_cbn2,252,opng_prop_vlus
prop_nzero_cbn2,10.0,opng_prop_vlus
nbr_zero_cbn3,3 076,opng_prop_vlus
nbr_nzero_cbn3,254,opng_prop_vlus
prop_nzero_cbn3,7.6,opng_prop_vlus
nbr_zero_cbn_controls,5 841,opng_prop_vlus
nbr_nzero_cbn_controls,298,opng_prop_vlus
prop_nzero_cbn_controls,4.9,opng_prop_vlus
nbr_pop_p_1pm_cbn1,89.6,popnbrs_p1pm
nbr_pop_p_1pm_cbn2,166,popnbrs_p1pm
nbr_pop_p_1pm_cbn3,216,popnbrs_p1pm
nbr_pop_p_1pm_cbn_controls,84.2,popnbrs_p1pm
cvrgd1,137 734,cvrgnc
cvrgd0,0,cvrgnc
mdlcnt_ttl,137 734,cvrgnc
cvrgnc_rate,100,cvrgnc
nbr_runs_p_cbn_spec,320,cvrgnc
velp_cryname_min,Hungary,velp_minmax
velp_cryname_max,Portugal,velp_minmax
velp_year_scld_min,-0.117,velp_minmax
velp_year_scld_max,0.063,velp_minmax
velp_year_pct_min,1.6,velp_minmax
velp_year_pct_max,0.9,velp_minmax
rate_opng_glbl_cbn1,0.00433,rate_opng_glbl
rate_opng_glbl_cbn2,0.00299,rate_opng_glbl
rate_opng_glbl_cbn3,0.00282,rate_opng_glbl
